00000 0,15,29,33,24,29,38,39,24,32,38,40,33,36,41,41,30,31,39,39,36,37,43,43,37,38,43,43,38,39,43,43 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,20,23,29,15,25,26,30,22,29,31,32,29,32,31,32,20,28,30,31,25,30,30,31,29,32,33,33,32,33,33,33 0,36,36,37,36,37,37,38,36,37,37,38,37,38,38,39,36,37,37,38,37,38,38,39,37,38,38,39,38,39,39,40
00000 0,18,16,26,17,26,25,30,18,27,24,30,24,31,27,32,20,27,26,31,28,31,30,32,27,30,29,32,30,32,30,32 0,48,48,49,48,49,49,50,48,49,49,50,49,50,50,51,48,49,49,50,49,50,50,51,49,50,50,51,50,51,51,52
00000 0,10,11,14,7,13,13,14,6,12,13,15,10,14,14,15,7,12,12,15,12,14,14,15,8,12,13,15,12,14,14,15 0,36,36,37,36,37,37,38,36,37,37,38,37,38,38,39,36,37,37,38,37,38,38,39,37,38,38,39,38,39,39,40
00000 0,17,19,28,23,29,33,35,24,28,32,35,34,35,37,38,19,28,27,32,30,33,34,36,32,35,34,36,36,37,37,38 0,50,50,51,50,51,51,52,50,51,51,52,51,52,52,53,50,51,51,52,51,52,52,53,51,52,52,53,52,53,53,54
00000 0,21,22,27,18,27,28,30,16,26,28,30,24,29,30,31,14,23,26,28,24,29,30,31,21,26,30,30,27,29,31,31 0,56,56,57,56,57,57,58,56,57,57,58,57,58,58,59,56,57,57,58,57,58,58,59,57,58,58,59,58,59,59,60
00000 0,21,19,31,15,26,26,32,15,26,25,31,22,29,29,32,15,28,23,32,24,31,28,33,25,30,29,32,28,32,31,33 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,24,18,32,25,36,31,39,16,32,29,39,29,37,33,40,28,32,36,38,36,37,39,40,32,36,39,41,37,38,40,41 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,13,12,15,8,15,14,16,11,16,16,16,16,16,16,16,11,14,14,15,15,16,15,16,14,16,16,16,16,16,16,16 0,26,26,27,26,27,27,28,26,27,27,28,27,28,28,29,26,27,27,28,27,28,28,29,27,28,28,29,28,29,29,30
00000 0,3,2,4,4,5,5,5,2,3,3,4,5,5,5,5,1,3,3,4,4,5,5,5,2,3,3,4,5,5,5,5 0,52,43,53,52,53,53,54,52,53,53,54,53,54,54,55,43,53,53,54,53,54,54,55,53,54,54,55,54,55,55,56
00000 0,4,5,5,3,4,5,5,3,4,5,5,4,4,5,5,4,5,6,6,5,5,6,6,4,5,6,6,5,5,6,6 0,14,14,15,14,15,15,16,14,15,15,16,15,16,16,17,14,15,15,16,15,16,16,17,15,16,16,17,16,17,17,18
00000 0,2,5,6,5,6,8,8,5,6,7,7,7,8,8,8,5,5,7,7,7,7,8,8,8,8,8,8,8,8,8,8 0,34,34,35,34,35,35,36,34,35,35,36,35,36,36,37,34,35,35,36,35,36,36,37,35,36,36,37,36,37,37,38
00000 0,15,11,20,8,18,18,23,15,22,21,25,21,25,27,28,17,23,22,26,20,24,25,27,21,25,25,27,24,26,28,28 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,17,19,26,23,28,29,31,20,24,30,31,29,30,33,33,21,30,27,31,29,32,32,33,29,31,32,32,32,32,33,33 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
00000 0,8,8,12,5,9,11,13,7,12,12,14,11,13,15,15,8,12,12,14,10,12,13,14,12,14,14,15,13,14,15,15 0,32,32,33,32,33,33,34,32,33,33,34,33,34,34,35,32,33,33,34,33,34,34,35,33,34,34,35,34,35,35,36
