chat_allowed	tut=None;chat=41:MorgardSteal;k=Lurk	true
chat_allowed	tut=None;chat=41:MorgardSteal;k=Commit	true
chat_allowed	tut=None;chat=42:AttackNexus;line=Mid	true
chat_allowed	tut=None;chat=42:AttackNexus;line=Bottom	true
chat_allowed	tut=None;chat=42:AttackNexus;line=Top	true
chat_allowed	tut=None;chat=43:DefenseNexus	true
chat_allowed	tut=None;chat=44:GankDive;line=Mid	true
chat_allowed	tut=None;chat=44:GankDive;line=Bottom	true
chat_allowed	tut=None;chat=44:GankDive;line=Top	true
chat_allowed	tut=None;chat=45:PressTower;line=Mid	true
chat_allowed	tut=None;chat=45:PressTower;line=Bottom	true
chat_allowed	tut=None;chat=45:PressTower;line=Top	true
chat_allowed	tut=None;chat=46:ComebackPick;line=Mid	true
chat_allowed	tut=None;chat=46:ComebackPick;line=Bottom	true
chat_allowed	tut=None;chat=46:ComebackPick;line=Top	true
chat_allowed	tut=None;chat=47:PlayCall;a=0,b=0	true
chat_allowed	tut=None;chat=47:PlayCall;a=0,b=1	true
chat_allowed	tut=None;chat=47:PlayCall;a=0,b=2	true
chat_allowed	tut=None;chat=47:PlayCall;a=0,b=3	true
chat_allowed	tut=None;chat=47:PlayCall;a=0,b=4	true
chat_allowed	tut=None;chat=47:PlayCall;a=0,b=5	true
chat_allowed	tut=None;chat=47:PlayCall;a=0,b=6	true
chat_allowed	tut=None;chat=47:PlayCall;a=0,b=7	true
chat_allowed	tut=None;chat=47:PlayCall;a=1,b=0	true
chat_allowed	tut=None;chat=47:PlayCall;a=1,b=1	true
chat_allowed	tut=None;chat=47:PlayCall;a=1,b=2	true
chat_allowed	tut=None;chat=47:PlayCall;a=1,b=3	true
chat_allowed	tut=None;chat=47:PlayCall;a=1,b=4	true
chat_allowed	tut=None;chat=47:PlayCall;a=1,b=5	true
chat_allowed	tut=None;chat=47:PlayCall;a=1,b=6	true
chat_allowed	tut=None;chat=47:PlayCall;a=1,b=7	true
chat_allowed	tut=None;chat=47:PlayCall;a=2,b=0	true
chat_allowed	tut=None;chat=47:PlayCall;a=2,b=1	true
chat_allowed	tut=None;chat=47:PlayCall;a=2,b=2	true
chat_allowed	tut=None;chat=47:PlayCall;a=2,b=3	true
chat_allowed	tut=None;chat=47:PlayCall;a=2,b=4	true
chat_allowed	tut=None;chat=47:PlayCall;a=2,b=5	true
chat_allowed	tut=None;chat=47:PlayCall;a=2,b=6	true
chat_allowed	tut=None;chat=47:PlayCall;a=2,b=7	true
chat_allowed	tut=None;chat=47:PlayCall;a=3,b=0	true
chat_allowed	tut=None;chat=47:PlayCall;a=3,b=1	true
chat_allowed	tut=None;chat=47:PlayCall;a=3,b=2	true
chat_allowed	tut=None;chat=47:PlayCall;a=3,b=3	true
chat_allowed	tut=None;chat=47:PlayCall;a=3,b=4	true
chat_allowed	tut=None;chat=47:PlayCall;a=3,b=5	true
chat_allowed	tut=None;chat=47:PlayCall;a=3,b=6	true
chat_allowed	tut=None;chat=47:PlayCall;a=3,b=7	true
chat_allowed	tut=None;chat=47:PlayCall;a=4,b=0	true
chat_allowed	tut=None;chat=47:PlayCall;a=4,b=1	true
chat_allowed	tut=None;chat=47:PlayCall;a=4,b=2	true
chat_allowed	tut=None;chat=47:PlayCall;a=4,b=3	true
chat_allowed	tut=None;chat=47:PlayCall;a=4,b=4	true
chat_allowed	tut=None;chat=47:PlayCall;a=4,b=5	true
