
===== specs[0] ult =====
  mem[0 ] PlayerState(=GamePlayer in 0x930    dir=r 관측=['load']               OK
  mem[1 ] PlayerState(=GamePlayer in 0x9c0    dir=r 관측=['load']               OK
  mem[13] LegacyPlanHandler          0x860[len] dir=w 관측=['load']               **불일치**
  mem[14] TraceEventType             0x0      dir=w 관측=['load', 'store']      OK
  mem[15] TraceEventType::CallHandle 0x8      dir=w 관측=['addr', 'load', 'store'] OK
  mem[16] TraceEventType::CallHandle 0x20     dir=w 관측=['addr']               (판정보류: addr 만)
  mem[17] TraceEventType::CallHandle 0x38     dir=w 관측=['addr', 'load']       (판정보류: addr 만)
  mem[18] TraceEventType::CallHandle 0x50     dir=w 관측=['addr']               (판정보류: addr 만)
  mem[19] TraceEventType::CallHandle 0x68     dir=w 관측=['addr']               (판정보류: addr 만)
  mem[20] TraceEventType::CallHandle 0x80     dir=w 관측=['store']              OK
  mem[21] TraceEventType::CallHandle 0x84     dir=w 관측=['store']              OK
  mem[22] PendingTraceEvent          0xb0     dir=w 관측=['store']              OK
  mem[23] LegacyPlanHandler          0x858    dir=w 관측=['addr', 'load']       (판정보류: addr 만)
  mem[24] LegacyPlanHandler          0x860    dir=w 관측=['load']               **불일치**

===== specs[13] target_bush_v30 =====
  mem[0 ] AbstractGameWithCache      0x180    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[1 ] AbstractGameWithCache      0x190    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[2 ] AbstractGameWithCache      0x1a0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[3 ] AbstractGameWithCache      0x1b0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[4 ] AbstractGameWithCache      0x1c0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[5 ] AbstractGameWithCache      0x1d0    dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[6 ] AbstractGameWithCache      0x1e0    dir=r 관측=['load']               OK
  mem[7 ] Entity                     0x68     dir=r 관측=['load']               OK
  mem[8 ] Entity                     0x70     dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[9 ] Entity                     0x88     dir=r 관측=['load']               OK
  mem[10] Entity                     0x128    dir=r 관측=['load']               OK
  mem[11] Entity                     0x660    dir=r 관측=['load']               OK
  mem[12] Entity                     0x668    dir=r 관측=['load']               OK
  mem[13] GameContext                0x8      dir=r 관측=['load']               OK
  mem[14] GameSetting                0x12c0   dir=r 관측=['load']               OK

===== specs[14] update =====
  mem[0 ] LineGankerPlan             0x0      dir=r 관측=['load', 'store']      OK
  mem[1 ] LineGankerPlan             0x10     dir=r 관측=['load', 'store']      OK
  mem[2 ] LineGankerPlan             0x28     dir=r 관측=['load']               OK
  mem[3 ] PlayerState                0x930    dir=r 관측=['load']               OK
  mem[4 ] PlayerState                0x9c0    dir=r 관측=['load']               OK
  mem[5 ] OperationData              0x0      dir=r 관측=['load', 'store']      OK
  mem[6 ] OperationData              0x8      dir=r 관측=['load']               OK
  mem[7 ] AbstractGameWithCache      0x1e0    dir=r 관측=['load']               OK
  mem[8 ] AbstractGameWithCache      0x180    dir=r 관측=['load']               OK
  mem[9 ] AbstractGameWithCache      0x190    dir=r 관측=['load']               OK
  mem[10] Entity                     0x628    dir=r 관측=['load']               OK
  mem[11] Entity                     0x670    dir=r 관측=['load']               OK
  mem[12] Entity                     0x660    dir=r 관측=['load']               OK
  mem[13] Entity                     0x668    dir=r 관측=['load']               OK
  mem[14] Entity                     0x68     dir=r 관측=['load']               OK
  mem[15] Entity                     0x70     dir=r 관측=[]                     (판정보류: 그 오프셋 gep 미검출)
  mem[16] Entity                     0x88     dir=r 관측=['load']               OK
  mem[17] Entity                     0x128    dir=r 관측=['load']               OK
  mem[18] GameContext                0x8      dir=r 관측=['load']               OK
  mem[19] GameContext                0x20     dir=r 관측=['load']               OK
  mem[20] GameSetting                0x12c0   dir=r 관측=['load']               OK
  mem[21] MapDef                     0x1c98   dir=r 관측=['load']               OK
  mem[22] LineGankerPlan             0x0      dir=w 관측=['load', 'store']      OK
  mem[23] LineGankerPlan             0x10     dir=w 관측=['load', 'store']      OK
  mem[24] LineGankerPlan             0x29     dir=w 관측=['store']              OK

===== specs[15] single_try_engage =====
  mem[0 ] OperationData              0x0      dir=r 관측=['load', 'store']      OK
  mem[1 ] AbstractGameWithCache      0x0      dir=r 관측=['load', 'store']      OK
  mem[2 ] AbstractGameWithCache      0x8      dir=r 관측=['load', 'store']      OK
  mem[3 ] dyn AbstractGame vtable    0x1f0    dir=r 관측=['load']               OK
  mem[4 ] PlayerState                0x930    dir=r 관측=['load']               OK
  mem[5 ] LegacyPlanHandler          0xf8     dir=r 관측=['addr']               OK
  mem[6 ] LegacyPlanHandler          0x990    dir=r 관측=['addr']               OK
  mem[7 ] Entity                     0x68     dir=r 관측=['addr', 'load']       OK
  mem[8 ] Entity                     0x128    dir=r 관측=['load']               OK
